codigo_nacional;codigo_municipio;nombre_estacion
28005002;5;ALCALÁ DE HENARES
28006004;6;ALCOBENDAS
28007004;7;ALCORCÓN
28009001;9;ALGETE
28013002;13;ARANJUEZ
28014002;14;ARGANDA DEL REY
28016001;16;EL ATAZAR
28045002;45;COLMENAR VIEJO
28047002;47;COLLADO VILLALBA
28049003;49;COSLADA
28058004;58;FUENLABRADA
28065014;65;GETAFE
28067001;67;GUADALIX DE LA SIERRA
28074007;74;LEGANÉS
28080003;80;MAJADAHONDA
28092005;92;MÓSTOLES
28102001;102;ORUSCO DE TAJUÑA
28120001;120;PUERTO DE COTOS
28123002;123;RIVAS-VACIAMADRID
28133002;133;SAN MARTÍN DE VALDEIGLESIAS
28148004;148;TORREJÓN DE ARDOZ
28161001;161;VALDEMORO
28171001;171;VILLA DEL PRADO
28180001;180;VILLAREJO DE SALVANÉS
28079102;79;J.M.D. MORATALAZ
28079103;79;J.M.D. VILLAVERDE
28079104;79;E.D.A.R. LA CHINA
28079106;79;CENTRO MPAL. DE ACÚSTICA
28079107;79;J.M.D. HORTALEZA
28079108;79;PEÑAGRANDE
28079109;79;J.M.D.CHAMBERÍ
28079110;79;J.M.D.CENTRO
28079111;79;J.M.D.CHAMARTIN
28079112;79;J.M.D.VALLECAS 1
28079113;79;J.M.D.VALLECAS 2
28079114;79;MATADERO 01
28079115;79;MATADERO 02
28079004;79;PLAZA ESPAÑA
28079008;79;ESCUELAS AGUIRRE
28079016;79;ARTURO SORIA
28079018;79;FAROLILLO
28079024;79;CASA DE CAMPO
28079035;79;PLAZA DEL CARMEN
28079036;79;MORATALAZ
28079038;79;CUATRO CAMINOS
28079039;79;BARRIO DEL PILAR
28079054;79;ENSANCHE DE VALLECAS
28079056;79;PLAZA ELÍPTICA
28079058;79;EL PARDO
28079059;79;JUAN CARLOS I
